Force,Dissoc_Time_Tau
250,1.486313322924282
263,4.035113289354248
275,2.643564323810544
288,1.91280309490238
300,1.260575985538972
313,1.154425730052014
325,1.145028060804401
338,0.435022146092382
350,0.545289485866198
363,0.202896923794309
375,0.152869544712381
388,0.135837407390435
400,0.070387647945592
413,0.058116545126649
425,0.02897691276074
438,0.016223160353815
450,0.015363628640533
463,0.009046474175315
475,0.01240387635044
488,0.004384275474466
500,0.004274684807085
513,0.003916452858779
525,0.002573962410344
538,0.001788558531053
550,0.001959592552094
563,0.001873426438299
575,0.001922149843728
588,0.001157951304071
600,0.001400088023891
